function,kind,path,sha256,shape,status,reason
1,inputs,Week_11/Function_01/03_Data/function_1_inputs.npy,f219e21c509fe283740669ba6cd71f3b702be4f615c730a61494b02aa96da826,"[20,2]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
1,outputs,Week_11/Function_01/03_Data/function_1_outputs.npy,f2829639eee3419248c6a67c633229daa04338af9164df8735b1879f7920848b,"[20,1]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
2,inputs,Week_11/Function_02/03_Data/function_2_inputs.npy,4893bdf7548def004026c59c161aa346ab51dac02c14862f0e502fad4ce81e06,"[20,2]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
2,outputs,Week_11/Function_02/03_Data/function_2_outputs.npy,49c21cd2de2a828ec8a9944460b426b483982fa95b25d8057029aa04d6bdc1d4,"[20,1]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
3,inputs,Week_11/Function_03/03_Data/function_3_inputs.npy,657a17bd87b6e557eb660227a0b89a1822c295236fe74983d5affa20914ab0ad,"[25,3]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
3,outputs,Week_11/Function_03/03_Data/function_3_outputs.npy,1159bc6497d02aa92203c56d6667ed0ec085a8477280681fe25c3e5f278bf107,"[25,1]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
4,inputs,Week_11/Function_04/03_Data/function_4_inputs.npy,b8911650c9d3c76e6ae91ec8bd661ab72cfeb39936f5fd7d43b11a97126878c3,"[40,4]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
4,outputs,Week_11/Function_04/03_Data/function_4_outputs.npy,65278a8bda31cf0804a80e1fc93bafdffe9669c63f6d3d492ef04dc48f31a3fa,"[40,1]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
5,inputs,Week_11/Function_05/03_Data/function_5_inputs.npy,b7edfe60b7e269e05ad9b270abc889665a5f25c471f8f58e3e80a53e9d0e4875,"[30,4]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
5,outputs,Week_11/Function_05/03_Data/function_5_outputs.npy,fd5fd88686067095744a1ed0cade688b0bdf4f1c90147f6fce42eace91c443c5,"[30,1]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
6,inputs,Week_11/Function_06/03_Data/function_6_inputs.npy,414130f7a395c90a15fe1a7e8f0396e64f82800322241d047ec84d93964d5cae,"[30,5]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
6,outputs,Week_11/Function_06/03_Data/function_6_outputs.npy,9dc4a67eb917aff084ec3def968cca699478511adcd5aea3e77c74f8ca864f84,"[30,1]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
7,inputs,Week_11/Function_07/03_Data/function_7_inputs.npy,7b827be9754dadcc3fa26648856a4dcf7e55098b3f052deb28917486b8816c3e,"[40,6]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
7,outputs,Week_11/Function_07/03_Data/function_7_outputs.npy,d5b51c8c5b67cf471fb1d3d36535f364e91a523b9b41ff072d58b6ee58f52432,"[40,1]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
8,inputs,Week_11/Function_08/03_Data/function_8_inputs.npy,88cbd1030981365627c85f520ff46cb273be9fba15f691fd03c491271452e3cd,"[49,8]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
8,outputs,Week_11/Function_08/03_Data/function_8_outputs.npy,36b12e5c9b9afb39297fb159475b7aa622f7fe4ef5a94f0493d6f4c6c0d906cc,"[49,1]",quarantined_read_only_historical_evidence,Failed prior provenance reconciliation; excluded from reconstructed evidence.
